序,學校名稱,系所名稱,學制名稱,班級名稱,學號,入學方式,原具身份,招生類別,郵遞區號,畢業學校,前畢業科系
1,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SC70308169,技優甄審,技優生,商業類,247,台北縣私立穀保家商,資料處理科
2,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S59DE9A51F,甄選入學,甄選一般生,商管群,814,高雄市市立海青工商,資料處理科
3,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S04B142AB1,甄選入學,甄選一般生,餐旅群,434,台中縣私立僑泰高中,餐飲管理科
4,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S4D0954805,甄選入學,甄選一般生,餐旅群,880,澎湖縣國立澎湖海事高職,餐飲管理科
5,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S518FC52BD,甄選入學,甄選一般生,餐旅群,212,連江縣國立馬祖高中,綜合高中部
6,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S78529FD06,聯合登記分發,聯登一般生,商管群,428,台中市國立台中高工,機械科
7,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S491E7D55A,聯合登記分發,聯登一般生,商管群,502,南投縣國立草屯商工,商業經營科
8,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S12ABEE024,聯合登記分發,聯登一般生,商管群,710,臺南市國立新化高工,資料處理科
9,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S0F534CC4A,聯合登記分發,聯登一般生,外語群英語類,303,新北市立光復高級中學,應用英語科
10,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,SD275ED347,聯合登記分發,聯登一般生,外語群英語類,406,臺中市私立新民高中,應用英語科
11,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S488848EA4,聯合登記分發,聯登一般生,外語群英語類,710,國立台南高級商業職業學校,資料處理科
12,國立澎湖科技大學,應用外語系,四技日間部,日間部四技應用外語系一甲,S871A85C83,聯合登記分發,聯登一般生,餐旅群,403,台中市國立台中高農,餐飲技術科
